Window Smoke (JT);smoke;1389.46875;70.968201;-167.96875;-30.937386;-163.909958
Smoke Stairs (JT);smoke;907.430115;-1036.031982;-251.96875;-64.587288;-158.774521
Lamp flash;flash;873.610168;-1036.031372;-251.96875;-33.451729;-154.218887
Jungle smoke (JT);smoke;1092.043335;-1012.002258;-257.438171;-22.106411;-162.921844
Top conn smoke (JT);smoke;1239.962158;-1159.484131;-246.550842;-24.690639;-175.049759
A Main Lurk Smoke;smoke;509.521759;-1707.965698;-263.96875;-15.127167;133.609192
Palace Lurk smoke;smoke;385.87326;-2127.966309;-39.96875;-5.785342;-126.39624
Top mid smoke;smoke;1422.966919;36.46875;-167.96875;-42.303638;-160.521606
Window smoke;smoke;343.302429;-621.618347;-162.331787;-32.384068;179.378647
Short smoke;smoke;360.075439;-691.96875;-163.355286;-24.909782;160.904984
Smoke kitchen window (JT);smoke;-160.03302;887.96698;-135.328064;-50.946461;-146.991608
Smoke kitchen entrance (JT);smoke;-160.027588;887.969849;-135.328125;-42.075165;-151.91066
Smoke CT Spawn (JT);smoke;1091.133789;-1012.912842;-257.549683;-29.730185;-143.773361
Smoke A Ramp deep from CT Spawn (JT);smoke;-2031.968872;-1766.488647;-300.431152;-16.542898;5.386463
Window Smoke\nT Spawn 1 (JT);smoke;1296.0;32.0;-167.96875;-28.912582;-165.958099
Window Smoke\\nT Spawn 2 (JT);smoke;1296.0;-352.0;-167.96875;-42.454956;-173.246841
Window Smoke\\nT Spawn 3 (JT);smoke;1216.0;-16.0;-163.96875;-44.59679;-166.252304
Window Smoke\\nT Spawn 4 (JT);smoke;1216.0;-115.0;-163.96875;-44.462006;-167.666473
Window Smoke\\nT Spawn 5 (JT);smoke;1216.0;-211.0;-163.96875;-46.032028;-170.316238
Window Smoke\\nT Spawn 6 (JT);smoke;1216.000122;-307.000244;-164.814819;-46.432678;-170.927353
Window Smoke\\nT Spawn 7 (JT);smoke;1135.997314;32.00264;-164.788452;-45.479965;-164.376755
Window Smoke\\nT Spawn 8 (JT);smoke;1136.049194;-63.972839;-164.499817;-42.432632;-166.298676
Window Smoke\\nT Spawn 9 (JT);smoke;1136.052612;-160.017456;-164.431152;-42.878601;-168.192444
Window Smoke\\nT Spawn 10 (JT);smoke;1135.99585;-256.0;-164.836548;-27.582886;-171.158752
Smoke jungle and connector\nFrom palace;smoke;32.012798;-2375.968506;-39.96875;-11.086205;82.633415
Smoke ticket from tetris;smoke;-30.46875;-1418.031372;-167.96875;-32.748001;-117.342819
Smoke connector (JT);smoke;1389.46875;70.971207;-167.96875;-20.363251;-157.222641
Molo A default;incendiary;-992.031494;-1352.346191;-164.287415;-13.321143;-48.352592
Smoke conn (JT);smoke;1422.966431;36.46875;-167.96875;-19.514093;-157.981613
Smoke short (JT);smoke;473.427765;401.470917;-251.96875;-27.830023;-175.065186
Smoke kitchen window;smoke;-161.029663;576.386169;-69.767151;-7.744146;-154.720551
Flash B (JT);flash;-396.251831;598.035522;-80.292358;-14.663282;-175.51828
Molo bench;molotov;-1321.249878;815.958313;-79.96875;-7.700288;-160.777451
Smoke jungle;smoke;283.032745;-1599.023926;-175.96875;-14.597266;-178.726547
Molo stairs;molotov;460.96875;-1520.031494;-242.44635;-23.287334;-179.668427
Flash jungle (JT);flash;460.970703;-1520.027588;-242.447327;2.980685;-174.586151
Smoke jungle (JT);smoke;907.600159;-1036.03125;-251.96875;-61.095295;-162.678314
Smoke Window (JT);smoke;1422.96875;-367.96875;-167.96875;-32.241234;-173.920013
Smoke Jungle;smoke;814.949463;-1548.909058;-108.96875;-29.358986;-178.373764
Smoke Stairs / Entry Flash (JT);smoke;814.949463;-1548.909058;-108.96875;-3.530984;-179.63884
Smoke Short;smoke;-160.03125;887.964111;-135.328003;-45.515762;-134.684814
Smoke Top Mid;smoke;1422.964233;70.96875;-112.46875;-31.867228;-161.931534
Smoke Window (JT);smoke;1389.456543;70.971863;-167.96875;-28.852715;-162.727432
