1,CT Mid to Suicide (JT),-318.7887,2283.8113,-117.10138,-9.157691,-92.43626
2,CT Ramp to Long,1143.6107,2038.0347,2.10932,-23.7488,-178.70604
0,Long to Container,1443.3057,1379.2158,-10.937927,-15.205244,-136.96973
1,Catwalk to CT (JT),-149.03503,1130.8715,-0.480835,-0.792725,128.13525
4,Long to A-Default \nMolotov Compatible,1252.0312,1552.045,2.0298576,-18.47981,89.36211
1,Upper Tunnel to Window (JT),-1730.7751,1064.0304,32.69677,-62.24716,73.77251
0,Scaffold to Scrap \nHE Compatible,-983.8994,2553.2097,0.686146,-6.4724307,-131.65877
2,X-Box to Mid Doors,-275.02734,1345.5018,-121.65997,-38.57481,59.88637
0,Taxi to Long Doors (JT),1740.3842,1962.4347,51.76292,6.160201,-131.68335
2,CT Mid to Mid Doors,-760.03125,2066.0325,-109.24658,-29.011194,174.00732
1,Short to A-Entrance,489.96783,1446.0312,0.555726,-6.547165,88.2937
1,Football to B-Doors (JT),-980.0317,-396.96875,128.68608,-38.401886,95.591034
3,Long to A-Site (JT),1593.9688,1150.0554,1.350883,2.27479,113.98456
1,Short to CT,190.09712,1334.1681,1.0837631,-15.435763,66.29652
1,Lower Tunnel to X-Box,-1199.9684,1435.9575,-107.82562,-11.747438,0.06428581
1,X-Box to CT (JT),-275.02734,1345.5018,-121.65997,-12.110447,129.54726
3,X-Box to Mid Doors,-275.02734,1345.5018,-121.65997,-33.451954,135.6068
1,Upper Tunnel to B-Doors,-1857.6368,1042.031,37.597107,-56.47007,65.87814
1,Jungle to B-Doors,-2185.9683,1059.0315,39.66515,-52.55207,53.405914
3,Pit to A-Site (WJT),1571.9647,201.03125,-179.26184,-3.153483,98.54229
2,Short to A-Entrance,489.96796,1943.9688,96.03125,-28.507692,113.26391
1,CT Ramp to Long Doors (JT),1004.96747,2379.9375,27.470211,-24.656916,-102.20331
1,Door Corner to Double Doors,-489.96875,1582.3691,-123.841064,-76.61673,140.6594
2,Mechanic to Long Corner (WJT),528.7534,151.6016,-3.088074,-0.532837,52.529472
1,Backyard to Window (JT),-1332.0231,491.96854,8.03125,-50.79425,89.23062
2,Upper Tunnel to B-Entrance (JT),-1705.97,902.7438,34.226765,-25.501657,89.921524
1,Container to Cross (JT),916.0318,1123.9688,1.416782,-57.78971,77.451385
2,Catwalk to Short (WJT),-168.41937,1015.37866,1.542746,0.193265,91.487366
4,Taxi to A-Backsite \nMolotov Compatible,1760.5302,2010.5721,3.293217,-14.762004,151.99928
2,Long Doors to A-Entrance (JT),847.17444,790.03125,47.03125,-11.90555,80.44156
1,Lower Tunnel to Mid Doors,-556.03174,1365.0634,-111.5708,-49.126083,43.905113
1,Taxi to Long Doors,1646.508,1971.4613,1.03125,-29.586124,-128.88696
2,Spot (JT),740.9687,565.96875,0.392119,-40.045586,152.04346
1,Mechanic to Long Corner,683.6521,-407.94635,9.083763,-39.166508,68.88017
2,Lower Tunnel to Short (JT),-520.8788,1382.0312,-110.96875,-38.900356,-6.439535
2,Upper Tunnel to B-Entrance,-1887.1646,1151.0519,32.129425,-9.675066,101.56796
3,Alley to A-Site (JT),1768.9688,677.88763,56.03125,6.29192,107.36049
1,Mechanic to Long Doors,177.0527,-575.75433,1.211853,-1.362794,62.005077
0,CT to Catwalk (WJT),-156.39252,2123.1792,-126.514465,-3.105228,-139.67712
2,Scrap to Upper Tunnel (JT),-1764.9437,1814.0292,3.174265,-12.777534,-25.083296
2,Long Corner to Long Doors,1268.0374,1245.9447,0.03125,-49.98848,89.2677
1,T to Long Corner (JT),-187.96552,-660.0303,49.786034,-20.29464,52.679
2,Window to B-Entrance (JT),-1273.965,2575.9688,70.396805,-13.54404,3.8282583
1,Football to B-Doors (JT),-1517.9688,-172.03052,130.83722,-22.3111,84.6912
3,Short to A-Site,343.04694,1823.338,95.788994,-13.026703,55.84384
1,A-Default to Short,1235.9688,2561.0327,99.60244,-16.58563,-151.84514
1,Barrels to X-Box,63.13943,308.03412,0.441186,-14.044647,129.95935
1,Suicide to Mid Doors,-491.96875,-228.03241,0.430768,-25.567596,87.10614
2,Lower Tunnel to Upper Tunnel,-1199.9642,1343.0312,-106.13104,-22.409197,-23.13191
1,Long doors to CT,516.03345,983.65283,0.722287,-52.414856,89.026
1,Catwalk to B-Doors (WJT),-178.73145,1194.9297,-0.289368,-19.302643,113.19971
2,Mechanic to Long (JT),363.9684,-384.79895,6.349833,-5.725586,53.87764
1,Window to B-Entrance (JT),-1273.965,2575.9688,70.396805,-78.24859,168.53232
0,Headshot to Sniper (JT),-1062.0284,2070.03,66.03125,6.58287,136.64932
2,A-Default to Short,1235.9688,2561.0332,99.602425,-25.400316,-146.50629
0,Window to B-Backsite (JT),-1273.965,2575.9688,70.396805,0.84762603,15.942929
3,Lower Tunnel to Mid Doors,-520.8788,1382.0312,-110.96875,-28.890356,46.910473
2,Goose to Short,1176.6285,3059.9683,129.06996,-48.206287,-130.33908
1,Barricade to B-Doors \nFlash Compatible (JT),-1765.0703,2477.0532,31.82039,3.4583082,-31.769194
1,T to X-Box (JT),-299.96716,-1163.9688,77.68187,-12.164276,90.1799
2,Taxi to Long Doors (JT),1646.508,1971.4613,1.03125,-5.507141,-129.04858
2,Long Doors to Long Corner,740.96674,565.96875,0.391124,-63.73684,55.933456
2,Upper Tunnel to B-Entrance (JT),-1624.0328,933.1787,35.10308,-19.034863,126.1978
1,Scaffold to Upper Tunnel,-983.8994,2553.2097,0.686146,-27.01921,-143.87657
2,Ramp to A-Site,1300.0304,2342.9683,26.007225,35.236088,98.15154
3,Long Doors to Taxi (JT),847.17444,790.03125,47.03125,6.422195,53.186874
1,Short to A-Entrance,489.9686,1600.2081,1.79695,-29.306717,133.75134
1,Football to Barricade (JT),-980.0481,-396.96875,128.69022,-29.24627,110.37534
3,Long to Elevator (JT),1593.9678,1428.0312,0.933755,7.54493,118.252235
2,Mechanic to Long (JT),683.6521,-407.94635,9.083763,-8.395871,75.41074
2,B-Backsite to Tunnel,-1629.8551,2598.0356,3.572637,-20.529016,48.00284
2,CT to Mid Doors,-57.792786,2010.0289,-121.44092,-11.720421,8.864514
1,Container to Cross,895.02844,1070.9603,1.030486,-55.419846,80.619385
1,Long Doors to Cross,860.03125,790.0324,4.313764,-26.620075,43.94515
2,Cross to Long Doors,1251.6019,2038.0376,2.00982,-42.184067,-81.797676
2,Short to Catwalk (WJT),489.96875,1534.3306,0.964984,-4.25959,-179.40755
1,T to X-Box (JT),-512.01416,-662.535,126.25814,-5.246707,83.75138
1,Short to Headshot,267.9448,1348.0312,0.320755,-13.09227,72.30377
1,Football to Barricade (JT),-1590.7975,-206.03125,130.03125,-10.84159,99.06314
1,Barricade to Window \nAll Utilities Compatible,-1765.0703,2477.0532,31.82039,-23.865679,22.064804
1,Upper Tunnel to B-Entrance,-1765.8079,993.9285,38.60069,-4.821625,111.88992
4,Scrap to B-Backsite \nMolotov Compatible,-1626.0219,1620.0278,2.318309,-16.552155,87.74818
1,T to Long Corner (JT),-512.01416,-662.535,126.25814,-20.932678,48.243385
1,Upper Tunnel to B-Doors,-1837.0034,1227.0533,32.297523,-66.30807,62.197765
0,Window to Big-Box,-1167.1738,2513.907,43.616215,-21.907635,133.88792
1,Truck to Upper Tunnel (JT),-618.03125,2549.9854,-81.838745,-27.398092,-165.18068
1,Backyard to B-Doors (JT),-1332.0231,491.96854,8.03125,-56.650692,86.665375
1,T to X-Box (JT),-403.802,-1051.939,105.37348,-7.90656,87.15677
